Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Suche Nachmieter für vollmöblierte DG Wohnung in Karlshorst;1310;1000;310;3000;57;1;5; 10318 Berlin, Karlshorst;Möbliert, Neubau, Tiere erlaubt, Behindertengerecht, gepflegt, Energieausweis in Vorbereitung;;2022;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;"01.04.2025
                                        - Objekt ist vermietet";;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36789740
Kernsanierte 3-Zimmer Wohnung ab SOFORT zu vermieten;1605,15;1309;296,15;3927;77;3;4; 13403 Berlin, Reinickendorf;Keller, Erstbezug, Energieausweis in Vorbereitung;;1965;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36656192
Wohnzimmer mit Balkon in einen WG Apartment in Steglitz;700;630;70;1400;20;1;3; 12163 Berlin, Steglitz;Möbliert, Keller, Altbau, WG geeignet, Tiere erlaubt, gepflegt, Bedarfsausweis;;1930;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2025;;Gas;;https://www.wohnungsboerse.net/immodetail/36768818
Befristet Wohnung in Berlin-Mitte;1550;1200;350;1550;67;2;; 10179 Berlin, Mitte;Möbliert, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;2011;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;01.04.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36753538
Möblierte Zwei-Zimmer Wohnung;860;680;180;;54;2;2; 12109 Berlin, Tempelhof;Möbliert, Keller, gepflegt, Energieausweis in Vorbereitung;;1964;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2025;;Öl;;https://www.wohnungsboerse.net/immodetail/36740454
60qm 2,5 Zi Wohnung nahe Osloer Str;k.A.;1350;;;60;2.5;; 13407 Berlin, Wedding;Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2025;;;;https://www.wohnungsboerse.net/immodetail/36721417
Schöne, helle 2 Zimmer Wohnung in Berlin Schöneberg;1395;1050;345;1200;64;2;5; 10783 Berlin, Schöneberg;Möbliert, Neubau, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;1972;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;17.02.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36716065
ESCALO - 1 bedroom apartment in Güntzelstr (Berlin);1920;1590;330;2000;44;2;; 10717 Berlin, Wilmersdorf;Möbliert, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;06.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039204
CASAU- 2 rooms apartment in Schöneberg  (Berlin);2212;1790;422;2000;67;1;6; 10783 Berlin, Schöneberg;Möbliert, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470530
Teke - 1 bedroom in Mitte;2390;2060;330;2000;72;1;5; 10179 Berlin, Mitte;Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470669
Genera - 2 rooms apartment with parking space and terrace in Wilmersdorf (Berlin);2500;1995;505;2000;78;1;1; 10713 Berlin, Wilmersdorf;Möbliert, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35618240
Juvilez - 2 rooms apartment in Prenzlauer Berg (Berlin);1720;1435;285;2000;50;1;3; 10439 Berlin, Prenzlauer Berg;Möbliert, Altbau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Gas;;https://www.wohnungsboerse.net/immodetail/35617273
Huelva - 2 bedrooms and office in Schöneberg;2464;1890;574;2000;92;3;3; 10827 Berlin, Friedenau;Neubau, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;2014;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;08.01.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/33877598
Hornos - 1 bedroom in Kreuzberg;1591;1250;341;2000;63;1;2; 10965 Berlin, Kreuzberg;Möbliert, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35651195
Aracena - Furnished 4 rooms apartment with Balcony in Kreuzberg (Berlin);2546;2070;476;2000;119;3;1; 10965 Berlin, Kreuzberg;Möbliert, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470827
