Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Helle 2-Zimmer-Wohnung in der Beusselstraße;970;730;240;2190;52;2;3; 10553 Berlin, Moabit;Möbliert, Aufzug, Keller, Altbau, gepflegt, Bedarfsausweis;;1968;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36691026
ESCALO - 1 bedroom apartment in Güntzelstr (Berlin);1920;1590;330;2000;44;2;; 10717 Berlin, Wilmersdorf;Möbliert, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;06.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039204
CASAU- 2 rooms apartment in Schöneberg  (Berlin);2212;1790;422;2000;67;1;6; 10783 Berlin, Schöneberg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470530
Teke - 1 bedroom in Mitte;2390;2060;330;2000;72;1;5; 10179 Berlin, Mitte;Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470669
Genera - 2 rooms apartment with parking space and terrace in Wilmersdorf (Berlin);2500;1995;505;2000;78;1;1; 10713 Berlin, Wilmersdorf;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35618240
Juvilez - 2 rooms apartment in Prenzlauer Berg (Berlin);1720;1435;285;2000;50;1;3; 10439 Berlin, Prenzlauer Berg;Möbliert, Altbau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Gas;;https://www.wohnungsboerse.net/immodetail/35617273
Huelva - 2 bedrooms and office in Schöneberg;2464;1890;574;2000;92;3;3; 10827 Berlin, Friedenau;Aufzug, Neubau, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;08.01.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/33877598
Hornos - 1 bedroom in Kreuzberg;1591;1250;341;2000;63;1;2; 10965 Berlin, Kreuzberg;Möbliert, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35651195
Aracena - Furnished 4 rooms apartment with Balcony in Kreuzberg (Berlin);2546;2070;476;2000;119;3;1; 10965 Berlin, Kreuzberg;Möbliert, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470827
Likasi - 2 Room apartment with Balcony in Schöneberg (Berlin);2160;1660;500;2000;79;1;5; 10785 Berlin, Schöneberg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470760
